03:08:54  INFO      src.etl.awards  Awards player [138/528] pid=1630623 source=api added_rows=0 cumulative_rows=607 cached=59 fetched=79 failed=0
03:08:58  INFO      src.etl.awards  Awards player [139/528] pid=1629234 source=api added_rows=0 cumulative_rows=607 cached=59 fetched=80 failed=0
03:09:01  INFO      src.etl.awards  Awards player [140/528] pid=1641787 source=api added_rows=0 cumulative_rows=607 cached=59 fetched=81 failed=0
03:09:01  INFO      src.etl.awards  Awards progress: 140/528 players processed (cached=59 fetched=81 failed=0 rows_buffered=607)
03:09:04  INFO      src.etl.awards  Awards player [141/528] pid=1642847 source=api added_rows=0 cumulative_rows=607 cached=59 fetched=82 failed=0
03:09:07  INFO      src.etl.awards  Awards player [142/528] pid=1642271 source=api added_rows=0 cumulative_rows=607 cached=59 fetched=83 failed=0
03:09:11  INFO      src.etl.awards  Awards player [143/528] pid=1627827 source=api added_rows=0 cumulative_rows=607 cached=59 fetched=84 failed=0
03:09:15  INFO      src.etl.awards  Awards player [144/528] pid=1642843 source=api added_rows=3 cumulative_rows=610 cached=59 fetched=85 failed=0
03:09:19  INFO      src.etl.awards  Awards player [145/528] pid=1642853 source=api added_rows=0 cumulative_rows=610 cached=59 fetched=86 failed=0
03:09:22  INFO      src.etl.awards  Awards player [146/528] pid=1631323 source=api added_rows=0 cumulative_rows=610 cached=59 fetched=87 failed=0
03:09:22  INFO      src.etl.awards  Awards player [147/528] pid=1628368 source=cache added_rows=10 cumulative_rows=620 cached=60 fetched=87 failed=0
03:09:25  INFO      src.etl.awards  Awards player [148/528] pid=1642402 source=api added_rows=0 cumulative_rows=620 cached=60 fetched=88 failed=0
03:09:28  INFO      src.etl.awards  Awards player [149/528] pid=1642277 source=api added_rows=0 cumulative_rows=620 cached=60 fetched=89 failed=0
03:09:31  INFO      src.etl.awards  Awards player [150/528] pid=1629655 source=api added_rows=0 cumulative_rows=620 cached=60 fetched=90 failed=0
03:09:31  INFO      src.etl.awards  Awards progress: 150/528 players processed (cached=60 fetched=90 failed=0 rows_buffered=620)
03:09:35  INFO      src.etl.awards  Awards player [151/528] pid=1642066 source=api added_rows=0 cumulative_rows=620 cached=60 fetched=91 failed=0
03:09:35  INFO      src.etl.awards  Awards player [152/528] pid=1629636 source=cache added_rows=5 cumulative_rows=625 cached=61 fetched=91 failed=0
03:09:38  INFO      src.etl.awards  Awards player [153/528] pid=1630568 source=api added_rows=0 cumulative_rows=625 cached=61 fetched=92 failed=0
03:09:38  INFO      src.etl.awards  Awards player [154/528] pid=1641718 source=cache added_rows=1 cumulative_rows=626 cached=62 fetched=92 failed=0
03:09:41  INFO      src.etl.awards  Awards player [155/528] pid=1642273 source=api added_rows=0 cumulative_rows=626 cached=62 fetched=93 failed=0
03:09:41  INFO      src.etl.awards  Awards player [156/528] pid=202331 source=cache added_rows=38 cumulative_rows=664 cached=63 fetched=93 failed=0
03:09:41  INFO      src.etl.awards  Awards player [157/528] pid=1630581 source=cache added_rows=5 cumulative_rows=669 cached=64 fetched=93 failed=0
03:09:41  INFO      src.etl.awards  Awards player [158/528] pid=1628983 source=cache added_rows=26 cumulative_rows=695 cached=65 fetched=93 failed=0
03:09:44  INFO      src.etl.awards  Awards player [159/528] pid=1630264 source=api added_rows=0 cumulative_rows=695 cached=65 fetched=94 failed=0
03:09:48  INFO      src.etl.awards  Awards player [160/528] pid=1631221 source=api added_rows=0 cumulative_rows=695 cached=65 fetched=95 failed=0
03:09:48  INFO      src.etl.awards  Awards progress: 160/528 players processed (cached=65 fetched=95 failed=0 rows_buffered=695)
03:09:48  INFO      src.etl.awards  Awards player [161/528] pid=203497 source=cache added_rows=22 cumulative_rows=717 cached=66 fetched=95 failed=0
03:09:51  INFO      src.etl.awards  Awards player [162/528] pid=1642884 source=api added_rows=0 cumulative_rows=717 cached=66 fetched=96 failed=0
03:09:54  INFO      src.etl.awards  Awards player [163/528] pid=1642864 source=api added_rows=0 cumulative_rows=717 cached=66 fetched=97 failed=0
03:09:57  INFO      src.etl.awards  Awards player [164/528] pid=1630692 source=api added_rows=0 cumulative_rows=717 cached=66 fetched=98 failed=0
03:09:57  INFO      src.etl.awards  Awards player [165/528] pid=203932 source=cache added_rows=1 cumulative_rows=718 cached=67 fetched=98 failed=0
03:09:57  INFO      src.etl.awards  Awards player [166/528] pid=203924 source=cache added_rows=1 cumulative_rows=719 cached=68 fetched=98 failed=0
03:10:00  INFO      src.etl.awards  Awards player [167/528] pid=1631260 source=api added_rows=0 cumulative_rows=719 cached=68 fetched=99 failed=0
03:10:00  INFO      src.etl.awards  Awards player [168/528] pid=203110 source=cache added_rows=24 cumulative_rows=743 cached=69 fetched=99 failed=0
03:10:00  INFO      src.etl.awards  Awards player [169/528] pid=1630224 source=cache added_rows=5 cumulative_rows=748 cached=70 fetched=99 failed=0
03:10:03  INFO      src.etl.awards  Awards player [170/528] pid=1629750 source=api added_rows=0 cumulative_rows=748 cached=70 fetched=100 failed=0
03:10:03  INFO      src.etl.awards  Awards progress: 170/528 players processed (cached=70 fetched=100 failed=0 rows_buffered=748)
03:10:03  INFO      src.etl.awards  Awards player [171/528] pid=201145 source=cache added_rows=2 cumulative_rows=750 cached=71 fetched=100 failed=0
03:10:06  INFO      src.etl.awards  Awards player [172/528] pid=1630182 source=api added_rows=0 cumulative_rows=750 cached=71 fetched=101 failed=0
03:10:09  INFO      src.etl.awards  Awards player [173/528] pid=1629656 source=api added_rows=0 cumulative_rows=750 cached=71 fetched=102 failed=0
03:10:13  INFO      src.etl.awards  Awards player [174/528] pid=1631243 source=api added_rows=0 cumulative_rows=750 cached=71 fetched=103 failed=0
03:10:13  INFO      src.etl.awards  Awards player [175/528] pid=1629060 source=cache added_rows=1 cumulative_rows=751 cached=72 fetched=103 failed=0
03:10:13  INFO      src.etl.awards  Awards player [176/528] pid=1630169 source=cache added_rows=11 cumulative_rows=762 cached=73 fetched=103 failed=0
03:10:16  INFO      src.etl.awards  Awards player [177/528] pid=1641790 source=api added_rows=0 cumulative_rows=762 cached=73 fetched=104 failed=0
03:10:16  INFO      src.etl.awards  Awards player [178/528] pid=203501 source=cache added_rows=1 cumulative_rows=763 cached=74 fetched=104 failed=0
03:10:16  INFO      src.etl.awards  Awards player [179/528] pid=201935 source=cache added_rows=71 cumulative_rows=834 cached=75 fetched=104 failed=0
03:10:19  INFO      src.etl.awards  Awards player [180/528] pid=1630702 source=api added_rows=0 cumulative_rows=834 cached=75 fetched=105 failed=0
03:10:19  INFO      src.etl.awards  Awards progress: 180/528 players processed (cached=75 fetched=105 failed=0 rows_buffered=834)
03:10:22  INFO      src.etl.awards  Awards player [181/528] pid=1641989 source=api added_rows=0 cumulative_rows=834 cached=75 fetched=106 failed=0
03:10:26  INFO      src.etl.awards  Awards player [182/528] pid=1642844 source=api added_rows=0 cumulative_rows=834 cached=75 fetched=107 failed=0
03:10:29  INFO      src.etl.awards  Awards player [183/528] pid=1631199 source=api added_rows=0 cumulative_rows=834 cached=75 fetched=108 failed=0
